,gene,SSD
45786,TNFRSF17,IRF4
68404,MYCN,MYCN
72539,MIEN1,PGAP3
34786,MIEN1,GRB7
5506,ATP6V0E2,ATP6V0E1
14513,CCND2,CCND2
21328,AXIN2,CTNNB1
24849,ERBB2,ERBB2
81173,SOX2,SOX2
68472,MYC,MYCN
