"BROAD_ID"	"model_name"
"SIDM00210"	"ACH-000657"	"A2780"
"SIDM00903"	"ACH-000681"	"A549"
"SIDM00850"	"ACH-000880"	"AGS"
"SIDM00933"	"ACH-000856"	"CAL-51"
"SIDM00212"	"ACH-000464"	"CAS-1"
"SIDM00910"	"ACH-000120"	"CHP-212"
"SIDM00947"	"ACH-000244"	"DK-MG"
"SIDM01043"	"ACH-000913"	"ESS-1"
"SIDM01055"	"ACH-000098"	"GAMG"
"SIDM00581"	"ACH-000738"	"GB-1"
"SIDM00273"	"ACH-000756"	"GI-1"
"SIDM00884"	"ACH-000699"	"HCC1395"
"SIDM00666"	"ACH-000067"	"Hs-683"
"SIDM00607"	"ACH-000622"	"KNS-42"
"SIDM00146"	"ACH-000768"	"MDA-MB-231"
"SIDM00564"	"ACH-000527"	"OVISE"
"SIDM01139"	"ACH-000042"	"PANC-02-03"
"SIDM00084"	"ACH-000376"	"SF295"
"SIDM01097"	"ACH-001193"	"SK-PN-DW"
"SIDM00782"	"ACH-000381"	"T84"
"SIDM01171"	"ACH-000571"	"T98G"
"SIDM01189"	"ACH-000075"	"U-87-MG"
"SIDM00316"	"ACH-000469"	"YH-13"
"SIDM00982"	"ACH-000323"	"42-MG-BA"
"SIDM00628"	"ACH-000849"	"MDA-MB-468"
"SIDM00527"	"ACH-000935"	"MDST8"
